Hg,Hi,Hm,Hp,He,Ib-FDTD,Ir-FDTD,It-FDTD,Ib-CPN,Ir-CPN,It-CPN
90,20,250,15,15,17.8394,5.1972,19.6281,17.9713,5.2566,19.7275
70,40,250,30,20,17.5942,5.6569,17.2782,17.654,5.4242,17.4717
10,60,230,25,30,16.8779,7.2756,18.2818,16.8265,7.2609,17.9788
90,20,160,20,25,19.1255,6.6946,16.356,18.8391,6.6392,16.5923
30,40,160,35,25,18.2443,7.8858,14.3623,18.1234,7.8906,14.6673
40,50,170,30,15,18.6468,7.337,14.7872,18.5098,7.1616,15.0881
20,60,250,20,15,17.3774,6.3484,18.2358,17.3648,6.4693,18.3308
10,20,230,30,30,16.5343,7.3668,18.1459,16.3762,7.207,18.0507
30,50,250,25,30,16.6149,6.6764,19.2121,16.499,6.81,19.0767
20,60,250,25,30,16.5967,6.9921,18.9053,16.4939,7.2093,18.8498
100,60,250,35,20,17.3826,6.2894,16.2423,17.5944,6.2801,16.4004
100,30,180,30,30,18.3694,6.3293,15.8136,18.417,6.3514,16.0368
100,60,160,15,25,18.4771,7.2637,16.6511,18.5119,7.1403,16.9024
80,60,250,15,35,16.6739,6.0683,19.0633,16.7071,6.1291,19.3422
40,60,250,25,30,16.8323,6.6693,18.9605,16.7047,6.8762,18.8245
70,20,160,25,25,18.9206,6.7426,15.9131,18.7588,6.6024,16.2102
80,30,250,35,15,17.8091,5.4019,17.2604,17.9479,5.4988,17.5292
20,50,160,25,20,18.2106,8.5036,15.3856,18.1944,8.3651,15.2058
50,40,250,30,35,16.3756,6.5161,17.6405,16.3926,6.414,17.9675
90,60,250,30,15,17.7715,5.9664,17.1847,17.8583,5.8331,17.3173
70,40,250,30,15,17.8282,5.4864,17.721,17.8814,5.3697,17.9151
40,20,160,20,25,18.2349,7.7347,16.1319,18.1722,7.638,16.4732
70,30,250,30,35,16.4437,6.2514,17.865,16.5516,6.1964,18.1983
50,20,160,25,25,18.5442,7.2436,15.7524,18.4287,7.0186,16.0658
50,20,250,25,20,17.1334,5.7308,18.2853,17.2927,5.5527,18.3033
20,60,210,35,25,17.6776,7.4535,16.7987,17.6668,7.2069,16.5404
60,20,250,30,20,17.3042,5.5458,17.7029,17.4635,5.4768,17.8722
70,30,170,25,15,19.1743,6.0965,15.8298,19.0674,6.1062,16.1743
30,60,160,30,15,18.4667,8.3775,15.2021,18.3619,8.1444,14.9044
40,20,250,20,15,17.1579,5.7981,19.1094,17.3315,5.706,19.1154
50,20,160,15,25,18.4304,7.4536,16.7833,18.3797,7.3092,17.0368
70,20,160,35,20,19.1431,6.626,15.3568,18.9602,6.5626,15.2919
10,30,250,20,30,15.9983,7.1459,20.0154,16.136,7.1539,19.7796
50,60,250,30,15,17.7854,6.2506,17.0567,17.7309,6.0814,17.1557
80,40,250,25,20,17.65,5.6223,17.8448,17.6458,5.3419,18.0469
70,50,160,30,30,18.2696,7.3434,14.8597,18.1769,7.3046,15.1657
30,60,250,25,15,17.5562,6.4184,17.5468,17.544,6.3745,17.7545
20,50,250,30,20,17.1271,6.637,16.8761,17.1462,6.5401,17.1074
10,60,220,35,20,17.6675,7.405,16.2808,17.6436,7.125,15.9454
100,30,170,25,20,19.0875,6.4383,15.3635,19.0279,6.1801,15.681
60,20,170,20,15,19.0106,6.3433,16.3105,18.8976,6.3914,16.6497
50,20,250,35,35,16.1189,6.2808,17.494,16.3889,6.398,17.7981
90,60,250,20,20,17.619,5.8615,17.915,17.7283,5.6664,18.0868
50,40,160,25,25,18.5742,7.3648,15.5819,18.4075,7.1697,15.8987
70,20,250,35,15,17.662,5.3235,17.5017,17.7906,5.4885,17.7369
60,60,250,25,35,16.5894,6.5831,17.6944,16.6008,6.5273,18.0406
30,50,230,30,30,17.1244,6.8192,17.9917,16.9427,6.8051,17.6888
20,30,160,35,35,17.5123,8.2255,15.0421,17.5181,8.0523,14.7853
20,50,160,35,35,17.4864,8.7147,14.6897,17.5706,8.3725,14.5661
70,20,160,35,15,19.2794,6.5287,15.6793,19.0535,6.4666,15.4583
30,50,250,30,25,16.9817,6.7324,18.9186,16.9369,6.7631,18.7186
90,60,160,25,25,18.3546,7.3777,15.6127,18.353,7.1707,15.945
10,40,160,30,35,17.3019,8.7116,15.3638,17.4291,8.4363,15.0145
70,50,160,35,25,18.4896,7.2352,14.7018,18.4335,7.2127,14.9767
20,50,250,25,25,16.7999,6.7632,19.6242,16.8221,6.8275,19.3971
20,60,220,35,20,17.7992,7.3665,16.2206,17.7155,7.0309,15.9637
40,40,250,15,35,16.2101,6.2385,19.5153,16.2263,6.2667,19.7876
40,30,170,30,15,18.7104,6.9134,15.0513,18.5813,6.8084,15.3536
60,30,160,15,25,18.7613,6.9343,16.8897,18.7154,6.8783,17.1488
